p_drop_psi,p_socket_psi,p_plug_psi,q_lpm,temp_c,dist_mm,force_n,velocity_mms,SPEED_mms,is_movedir_mating,offest_radial_mm,offset_angle_deg,is_flowdir_s2p,cycle_num,test_owner,test_id,ocp_test_spec,test_date_ymd,plug_id,socket_id,plug_vendor,socket_vendor
,,,,20,90.3613,-103.722099,,399.999809,1,0,0,,18,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.0755,8.599077,,399.999809,0,0,0,,18,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.3613,-105.869184,,399.999809,1,0,0,,19,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.4755,8.999866,,399.999809,0,0,0,,19,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.5213,-104.867211,,399.999809,1,0,0,,20,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.1555,8.248386,,399.999809,0,0,0,,20,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,89.9613,-104.008377,,399.999809,1,0,0,,21,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.3155,8.627705,,399.999809,0,0,0,,21,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.3613,-104.902996,,399.999809,1,0,0,,22,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.6355,7.91201,,399.999809,0,0,0,,22,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
